,Ballot Submission,,,,,,,,,,,,,,,,,,Triage & Committee Resolution,,,,,,,,,,,,,,,,Ballot Comment Tracking,,,,,,,
111,Data Access Framework (DAF),,daf-core-medication,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medication.html,A-T,,,,"Queries on Medication resource are expected to be within the context of a MedicationStatement, MedicationOrder resource query. ",Queries on Medication resource are expected to be within the context of a MedicationStatement or a MedicationOrder resource query. ,Missing words in sentence,Typo,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
112,Data Access Framework (DAF),,daf-core-medication,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medication.html,NEG,Enhancement,,,"Each Medication must have:
1.  A medication code",,"There are some medications that do not have a code - for example, compounded or extemporaneous medications.  By making only code mandatory you may not be able to query and retrieve all medications.",Don't retrict to medication.code,,,,,FHIR Infrastructure,,,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
113,Data Access Framework (DAF),,DAF-Core Medication Example,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medication-example.html,A-S,Enhancement,,,,,There is not medication example included to provide more detail,Add medication example,,,,,FHIR Infrastructure,,,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
114,Data Access Framework (DAF),,daf-core-medicationorder,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medicationorder.html,A-S,Enhancement,,,,,"Include more information so it is clear the intended use cases for this profile.  Currently includes only queries for medicationOrders but the the profile also includes mandatory data elements which implies it will be used to create medicationOrders.  If it is just queries for the intended use, may not be able to dictate what must be in a MedicationOrder.  Maybe this set of mandatory data elements is related to what must be in a query for a medicationOrder?

If this profile can be used for creating a medicationOrder, then it is missing a lot of data that needs to be sent in a medicationOrder (for example, dosage)",Add medication use cases,,,,,FHIR Infrastructure,,,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
115,Data Access Framework (DAF),,daf-core-medicationorder,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medicationorder.html,NEG,Enhancement,,,,,"Medications may not all have an RxNorm Code - for example, compounded or extemporaneous medications.  Should support including a reference to a medication that does not include a code.",Don't retrict to medication.code,,,,,FHIR Infrastructure,,,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
116,Data Access Framework (DAF),,DAF-medicationStatement,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medicationstatement.html,A-S,Enhancement,,,,,"Include more information so it is clear the intended use cases for this profile.  Currently includes only queries for medicationStatements but the the profile also includes mandatory data elements which implies it will be used to create medicationStatements.  If it is just queries for the intended use, may not be able to dictate what must be in a medicationStatement.  Maybe this set of mandatory data elements is related to what must be in a query for a medicationStatement?

If this profile can be used for creating a medicationStatement, then it is missing a lot of data that needs to be sent in a medicationStatement (for example, dosage)",Add medication use cases,,,,,FHIR Infrastructure,,,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
117,Data Access Framework (DAF),,DAF-medicationStatement,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-medicationstatement.html,NEG,Enhancement,,,,,"Medications may not all have an RxNorm Code - for example, compounded or extemporaneous medications.  Should support including a reference to a medication that does not include a code.",Don't retrict to medication.code,,,,,FHIR Infrastructure,,,,,,,,,,,,,Melva Peters ,,Melva Peters ,,,,,
118,Data Access Framework (DAF),,D.24,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-security.html,NEG,Enhancement,,,"Systems SHALL use TLS version 1.0 or higher for all transmissions not taking place over a secure network connection.
 (Using TLS even within a secured network environment is still encouraged to provide defense in depth.) US Federal systems SHOULD conform with FIPS PUB 140-2.","Systems SHALL use TLS version 1.2 or higher for all transmissions not taking place over a secure network connection.
 (Using TLS even within a secured network environment is still encouraged to provide defense in depth.) US Federal systems SHOULD conform with FIPS PUB 140-2.",US Government  is required to use TLS version 1.2.,Update TLS version,,,,,FHIR Infrastructure,,,,,,,,,,,,,Russell Davis ,,Russell Davis ,,,,,
119,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core.html,A-A,Clarification,,,,,Affirmative,Affirmative,,Ready-for-Vote,,,FHIR Infrastructure,Considered - No action required,Thanks,,,,,,,,,,,Mitra Rocca ,,Mitra Rocca ,,,,,
120,Data Access Framework (DAF),,,,,,,(profiles),,A-S,Enhancement,,,,,"NIOSH recommends the inclusion of Occupational Data for Health (ODH). NIOSH is intent on incorporating and aligning ODH in all HL7 standards; since it is not yet in FHIR, we recognize the need to add it to this Profile. A Project Scope Statement (PSS) to format ODH in V2 and FHIR standards is with the Executive Board and Technical Steering Committee (TSC) to identify the appropriate sponsor Work Group. Use cases to support the inclusion of ODH can be provided during ballot reconciliation.",NIOSH data elements,Yes,Ready-for-Vote,,,FHIR Infrastructure,Not related,This was submitted to the FHIR Core ballot and will be dealt with there,,,,,,,,,,,Genny Luensman ,NIOSH ,Genny Luensman ,bve2@cdc.gov ,,,,
